Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Source
c1coc(COCc2ccco2)c1,c1coc(COCc2ccco2)c1,undefined,flavor_db
CCOC(=O)C(C)C(C)OC(C)=O,CCOC(=O)C(C)C(C)OC(C)=O,undefined,flavor_db
COC1CC(O)C(O)C(C)O1,COC1CC(O)C(O)C(C)O1,sweet,flavor_db
COC1OC(C(O)C(C)O)C(O)C1O,COC1OC(C(O)C(C)O)C(O)C1O,sweet,flavor_db
COC1OC(C(C)O)C(O)C(O)C1O,COC1OC(C(C)O)C(O)C(O)C1O,sweet,flavor_db
O=CC(=O)C(O)C(O)C(O)C(O)CO,O=CC(=O)C(O)C(O)C(O)C(O)CO,sweet,flavor_db
C=C(C)C1CCC2(C)CCC(=O)CC2(C)C1,C=C(C)C1CCC2(C)CCC(=O)CC2(C)C1,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC1C2O,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC1C2O,sweet,flavor_db
COC(=O)CCCc1ccccc1,COC(=O)CCCc1ccccc1,sweet,flavor_db
NCCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,NCCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
CCCCCCC1(C)CCC(=O)O1,CCCCCCC1(C)CCC(=O)O1,undefined,flavor_db
CC(C)CC(=O)OC1CCCCC1,CC(C)CC(=O)OC1CCCCC1,undefined,flavor_db
CC1=CCC2(C)CCC(C(C)C)C2(O)CC1,CC1=CCC2(C)CCC(C(C)C)C2(O)CC1,undefined,flavor_db
C=C(C)C1CCC2=CCCC(C)C2(C)C1,C=C(C)C1CCC2=CCCC(C)C2(C)C1,sweet,flavor_db
C=C1C2CCC3C2C(C)(C)CCCC13C,C=C1C2CCC3C2C(C)(C)CCCC13C,sweet,flavor_db
COP1(=O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O1,COP1(=O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O1,sweet,flavor_db
c1ccc(CC(N=Nc2ccccc2)=NNc2ccccc2)cc1,c1ccc(CC(N=Nc2ccccc2)=NNc2ccccc2)cc1,sweet,flavor_db
OCC1(O)OCC(O)C(F)C1O,OCC1(O)OCC(O)C(F)C1O,sweet,flavor_db
CCOC1OC(C(O)CO)C(O)C1O,CCOC1OC(C(O)CO)C(O)C1O,sweet,flavor_db
OCC(O)C1OCOC(CO)C1O,OCC(O)C1OCOC(CO)C1O,sweet,flavor_db
COC1OC(C)CC(O)C1O,COC1OC(C)CC(O)C1O,sweet,flavor_db
CC1CC(O)C(O)C(O)O1,CC1CC(O)C(O)C(O)O1,sweet,flavor_db
COC1OC(CO)C2OC(C)(C)OC2C1O,COC1OC(CO)C2OC(C)(C)OC2C1O,sweet,flavor_db
COC1OC2COCOC2C(O)C1O,COC1OC2COCOC2C(O)C1O,sweet,flavor_db
CC=C(C)C(=O)OCCCCCCCCC,CC=C(C)C(=O)OCCCCCCCCC,undefined,flavor_db
CCOC(=O)C1CCC(=O)O1,CCOC(=O)C1CCC(=O)O1,undefined,flavor_db
CC1(C)OC2OC(CO)C(O)C(O)C2O1,CC1(C)OC2OC(CO)C(O)C(O)C2O1,sweet,flavor_db
C[As](C)[Se]CC1OC(O)C(O)C(O)C1O,C[As](C)[Se]CC1OC(O)C(O)C(O)C1O,sweet,flavor_db
CCOC1OC(C(O)CO)C(O)C(O)C1O,CCOC1OC(C(O)CO)C(O)C(O)C1O,sweet,flavor_db
OCC(O)C1OC(OC2CCCCC2)C(O)C(O)C1O,OCC(O)C1OC(OC2CCCCC2)C(O)C(O)C1O,sweet,flavor_db
OCC1OC(OC2CCCCC2)C(O)C(O)C1O,OCC1OC(OC2CCCCC2)C(O)C(O)C1O,sweet,flavor_db
CC(=O)OCC1OC(OC(C)=O)C(O)C(OC(C)=O)C1OC(C)=O,CC(=O)OCC1OC(OC(C)=O)C(O)C(OC(C)=O)C1OC(C)=O,sweet,flavor_db
OCC1OC(OC2C(CO)OCC(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OCC(O)C2O)C(O)C(O)C1O,sweet,flavor_db
OCC1OC(O)C(F)C(O)C1O,OCC1OC(O)C(F)C(O)C1O,sweet,flavor_db
C=CCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],C=CCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],sweet,flavor_db
COC1OC(CO)C(O)C2OCCOCCOCCOCCOCCOC12,COC1OC(CO)C(O)C2OCCOCCOCCOCCOCCOC12,sweet,flavor_db
COCC1OC(O)C(O)C(O)C1O,COCC1OC(O)C(O)C(O)C1O,sweet,flavor_db
CCOCC1OC(O)C(O)C(O)C1O,CCOCC1OC(O)C(O)C(O)C1O,sweet,flavor_db
COC(=O)C(Cc1ccccc1)NCCNC(C)=O,COC(=O)C(Cc1ccccc1)NCCNC(C)=O,sweet,flavor_db
COP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,COP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
C=C1CCC2C1C1C(C(C)C)CCC21C,C=C1CCC2C1C1C(C(C)C)CCC21C,undefined,flavor_db
CC1OC(O)CC(O)C1O,CC1OC(O)CC(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(N)(N)=O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(N)(N)=O)C(O)C1O,sweet,flavor_db
Cc1coc2c1CCC(C)C2,Cc1coc2c1CCC(C)C2,undefined,flavor_db
CCOP(=O)(OCC)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,CCOP(=O)(OCC)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
COC1OC(CO)C(OC)C(O)C1O,COC1OC(CO)C(OC)C(O)C1O,sweet,flavor_db
COC1C(CO)OC(O)C(O)C1O,COC1C(CO)OC(O)C(O)C1O,sweet,flavor_db
COC1(CO)OC(CO)C(O)C(O)C1O,COC1(CO)OC(CO)C(O)C(O)C1O,sweet,flavor_db
CC(O)C1OCOC(CO)C1O,CC(O)C1OCOC(CO)C1O,sweet,flavor_db
CC(OC=O)c1ccccc1,CC(OC=O)c1ccccc1,undefined,flavor_db
CCOC1CCC(O)C(CO)O1,CCOC1CCC(O)C(CO)O1,sweet,flavor_db
OCC(O)C(O)COC1OC(CO)C(O)C(O)C1O,OCC(O)C(O)COC1OC(CO)C(O)C(O)C1O,sweet,flavor_db
COC(=O)CNC(=O)C(N)Cc1ccccc1,COC(=O)CNC(=O)C(N)Cc1ccccc1,sweet,flavor_db
COC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1,COC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1,sweet,flavor_db
Nc1ncnc2ncn(C3OC(CO)C(O)C3OP(=O)(O)O)c12,Nc1ncnc2ncn(C3OC(CO)C(O)C3OP(=O)(O)O)c12,sweet,flavor_db
OCC1OC(O)C(O)CC1O,OCC1OC(O)C(O)CC1O,sweet,flavor_db
O=c1c(-c2cccc(O)c2O)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12,O=c1c(-c2cccc(O)c2O)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12,sweet,flavor_db
CC1OC(OC2C(Oc3ccc4c(=O)c(-c5ccc(O)c(O)c5O)coc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3ccc4c(=O)c(-c5ccc(O)c(O)c5O)coc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
COP(=O)(OC)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,COP(=O)(OC)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
CCOC(=O)CCCO,CCOC(=O)CCCO,undefined,flavor_db
COC(=O)C(C(=O)OC)C1CCCC(=O)C1,COC(=O)C(C(=O)OC)C1CCCC(=O)C1,undefined,flavor_db
COC1CCC(O)C(CO)O1,COC1CCC(O)C(CO)O1,sweet,flavor_db
COC1CC(OC)C(O)C(CO)O1,COC1CC(OC)C(O)C(CO)O1,sweet,flavor_db
CC1OC(OCC2OC(Oc3ccc(C4CC(=O)c5c(O)cc(O)cc5O4)cc3O)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(Oc3ccc(C4CC(=O)c5c(O)cc(O)cc5O4)cc3O)C(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
CC1=CC(=O)C(=C(C)C)CC1,CC1=CC(=O)C(=C(C)C)CC1,undefined,flavor_db
CC1=CC2(O)OC3(CC2=C(C)C)C(C)CCC13,CC1=CC2(O)OC3(CC2=C(C)C)C(C)CCC13,undefined,flavor_db
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)OCC(F)(F)F)NCC(F)(F)F,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)OCC(F)(F)F)NCC(F)(F)F,sweet,flavor_db
CSCSCSC,CSCSCSC,undefined,flavor_db
C=C(CCC=C(C)C)C1CC=C(C)CC1,C=C(CCC=C(C)C)C1CC=C(C)CC1,undefined,flavor_db
COC1OC(CO)C(O)C(O)C1[Hg],COC1OC(CO)C(O)C(O)C1[Hg],sweet,flavor_db
CC1OC(O)CCC1O,CC1OC(O)CCC1O,sweet,flavor_db
COC1OC(C)C(O)C(O)C1[Hg],COC1OC(C)C(O)C(O)C1[Hg],sweet,flavor_db
CC1OC(OC2C(C)OC(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(C)OC(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
OCC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O,OCC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,flavor_db
Nc1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c2ncnc1-2,Nc1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c2ncnc1-2,sweet,flavor_db
COC(=O)C(Cc1ccccc1)NCCN,COC(=O)C(Cc1ccccc1)NCCN,sweet,flavor_db
Nc1ncn(C2OC(COP(N)(=O)O)C(O)C2O)c2ncnc1-2,Nc1ncn(C2OC(COP(N)(=O)O)C(O)C2O)c2ncnc1-2,sweet,flavor_db
OCC1(OC2OC(CF)C(O)C(O)C2O)OC(CF)C(O)C1O,OCC1(OC2OC(CF)C(O)C(O)C2O)OC(CF)C(O)C1O,sweet,flavor_db
COC1OC(CO)C(O)C2OCCOCCOC3C(OC)OC(CO)C(O)C3OCCOCCOC12,COC1OC(CO)C(O)C2OCCOCCOC3C(OC)OC(CO)C(O)C3OCCOCCOC12,sweet,flavor_db
OCC1OC(O)C2OCCOCCOC3C(O)C(CO)OC(O)C3OCCOCCOC2C1O,OCC1OC(O)C2OCCOCCOC3C(O)C(CO)OC(O)C3OCCOCCOC2C1O,sweet,flavor_db
COC(=O)C(Cc1ccccc1)NC(=O)CN,COC(=O)C(Cc1ccccc1)NC(=O)CN,sweet,flavor_db
COC(=O)C(Cc1ccc(F)cc1)NC(=O)CN,COC(=O)C(Cc1ccc(F)cc1)NC(=O)CN,sweet,flavor_db
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(C)C,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(C)C,sweet,flavor_db
CC1CCC(C(C)C)C(O)C1,CC1CCC(C(C)C)C(O)C1,sweet,flavor_db
OCC1OC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
OCC1OC(OC2C(O)C(CO)OC(OC3C(O)C(O)OC(CO)C3O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(O)C(CO)OC(OC3C(O)C(O)OC(CO)C3O)C2O)C(O)C(O)C1O,sweet,flavor_db
OCC1OC(OCC2OC(O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
CC1(C)COC(=O)C1O,CC1(C)COC(=O)C1O,undefined,flavor_db
O=C(C(O)CO)C(O)C(O)CO,O=C(C(O)CO)C(O)C(O)CO,sweet,flavor_db
OC1COC(OCC2OC(O)C(O)C(O)C2O)C(O)C1O,OC1COC(OCC2OC(O)C(O)C(O)C2O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1N,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1N,sweet,flavor_db
C=C(C)C1CC=C(C)C(=O)C1,C=C(C)C1CC=C(C)C(=O)C1,sweet,flavor_db
OCC1OC(OCC2OC(OCC3OC(O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(OCC3OC(O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
OC1CC(O)C(O)CO1,OC1CC(O)C(O)CO1,sweet,flavor_db
OCC1OC(OC2C(CO)OC(OCC3OC(O)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(OCC3OC(O)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
O=C1c2c(O)cc(OC3OC(CO)C(O)C(O)C3O)cc2OC(c2ccc(O)c(O)c2)C1O,O=C1c2c(O)cc(OC3OC(CO)C(O)C(O)C3O)cc2OC(c2ccc(O)c(O)c2)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1OP(=O)(O)O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1OP(=O)(O)O,sweet,flavor_db
OCC1OC(OCC2OC(CO)(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(CO)(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(N)(=O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(N)(=O)O)C(O)C1O,sweet,flavor_db
Nc1ncnc2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c12,Nc1ncnc2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c12,sweet,flavor_db
OCC(O)C(O)C(O)C(O)COCC1OC(O)C(O)C(O)C1O,OCC(O)C(O)C(O)C(O)COCC1OC(O)C(O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O[Se](=O)(=O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O[Se](=O)(=O)O)C(O)C1O,sweet,flavor_db
CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,undefined,flavor_db
CC1=CC2C(=C(C)CCC2C(C)C)CC1,CC1=CC2C(=C(C)CCC2C(C)C)CC1,undefined,flavor_db
OCC1OC(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
O=CC(O)C1OCC(O)C1O,O=CC(O)C1OCC(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(N)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(N)C1O,sweet,flavor_db
COC1CC(O)OC(C)C1O,COC1CC(O)OC(C)C1O,sweet,flavor_db
COC1C(O)C(C)OC(O)C1O,COC1C(O)C(C)OC(O)C1O,sweet,flavor_db
CC1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
OCC1OC(OC2C(OC3(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(OC3(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
OCC(O)C(O)C(O)(CO)COC1OC(CO)C(O)C(O)C1O,OCC(O)C(O)C(O)(CO)COC1OC(CO)C(O)C(O)C1O,sweet,flavor_db
CC1=CCC2C3C(C(C)C)CCC2(C)C13,CC1=CCC2C3C(C(C)C)CCC2(C)C13,undefined,flavor_db
CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3,CC1CCC2(O)C(C)(C)C3CCC2(C)C1C3,undefined,flavor_db
C=C(C)C1CC(=O)C2(C)OC2C1,C=C(C)C1CC(=O)C2(C)OC2C1,sweet,flavor_db
CC1=CCC(C(C)(C)O)CC1,CC1=CCC(C(C)(C)O)CC1,undefined,flavor_db
COc1c(OC2OC(C)C(O)C(O)C2O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,COc1c(OC2OC(C)C(O)C(O)C2O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,sweet,flavor_db
C=CC(C)(O)CCC=C(C)C,C=CC(C)(O)CCC=C(C)C,undefined,flavor_db
OCC(CO)OC1OC(CO)C(O)C(O)C1O,OCC(CO)OC1OC(CO)C(O)C(O)C1O,sweet,flavor_db
COC1C(O)OC(C)C(O)C1OC,COC1C(O)OC(C)C(O)C1OC,sweet,flavor_db
COC1(C)CC(O)OC(C)C1O,COC1(C)CC(O)OC(C)C1O,sweet,flavor_db
O.O=C1[N-]S(=O)(=O)c2ccccc21.[Na+],O.O=C1[N-]S(=O)(=O)c2ccccc21.[Na+],sweet,flavor_db
OCCOC(OC1C(CO)OC(O)C(O)C1O)C(O)CO,OCCOC(OC1C(CO)OC(O)C(O)C1O)C(O)CO,sweet,flavor_db
O=C(O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1,sweet,flavor_db
OCC1OC(OC2C(O)CC(O)OC2CO)C(O)C(O)C1O,OCC1OC(OC2C(O)CC(O)OC2CO)C(O)C(O)C1O,sweet,flavor_db
COC1C(O)OC(C)C(O)C1O,COC1C(O)OC(C)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(S)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(S)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
COC1C(O)CC(O)OC1C,COC1C(O)CC(O)OC1C,sweet,flavor_db
OCC1CC(O)C(O)C(O)O1,OCC1CC(O)C(O)C(O)O1,sweet,flavor_db
COC1C(O)OCC(O)C1O,COC1C(O)OCC(O)C1O,sweet,flavor_db
CC(C)=CCCC(C)=CCCC(C)=CCO,CC(C)=CCCC(C)=CCCC(C)=CCO,sweet,flavor_db
OCC1OC(OC2C(CO)OC(O)C(F)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(O)C(F)C2O)C(O)C(O)C1O,sweet,flavor_db
CCCCCCCCOC1C(O)OC(CO)C(O)C1O,CCCCCCCCOC1C(O)OC(CO)C(O)C1O,sweet,flavor_db
OCC1CC(O)C(O)C(OC2C(CO)OC(O)C(O)C2O)O1,OCC1CC(O)C(O)C(OC2C(CO)OC(O)C(O)C2O)O1,sweet,flavor_db
OCC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(F)C3O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(F)C3O)C(O)C2O)C(O)C(O)C1O,sweet,flavor_db
OC1COC(OC2COC(O)C(F)C2O)C(O)C1O,OC1COC(OC2COC(O)C(F)C2O)C(O)C1O,sweet,flavor_db
OCC(O)C(OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)C(O)CO,OCC(O)C(OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)C(O)CO,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(N)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(N)C1O,sweet,flavor_db
CC1OC(O)C(F)C(O)C1O,CC1OC(O)C(F)C(O)C1O,sweet,flavor_db
CC(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(OP(=O)(O)O)C1O,CC(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(OP(=O)(O)O)C1O,sweet,flavor_db
CCCCCCCC(O)CC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCC(O)CC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,flavor_db
OCC(O)CCOC1OC(CO)C(O)C(O)C1O,OCC(O)CCOC1OC(CO)C(O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)CP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(F)C(O)C1O,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(F)C(O)C1O,sweet,flavor_db
CCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,flavor_db
OCC1OC(O)(O)C(O)C(O)C1O,OCC1OC(O)(O)C(O)C(O)C1O,sweet,flavor_db
CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C,undefined,flavor_db
OCC1OC(O)C(O)(O)C(O)C1O,OCC1OC(O)C(O)(O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1nc(Br)n2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1nc(Br)n2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,flavor_db
CCCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,CCCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(N)(=O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(N)(=O)O)C(O)C1O,sweet,flavor_db
OCC1OC(OC2C(O)COC(O)C2O)C(O)C1O,OCC1OC(OC2C(O)COC(O)C2O)C(O)C1O,sweet,flavor_db
OCC1(F)OC(O)C(O)C(O)C1O,OCC1(F)OC(O)C(O)C(O)C1O,sweet,flavor_db
CCCCCCOC1OC(CO)C(O)CC1O,CCCCCCOC1OC(CO)C(O)CC1O,sweet,flavor_db
CCCOP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(OP(=O)(O)O)C1O,CCCOP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(OP(=O)(O)O)C1O,sweet,flavor_db
OCC(O)CCCOC1OCC(O)C(O)C1O,OCC(O)CCCOC1OCC(O)C(O)C1O,sweet,flavor_db
OCC(O)CCOC1OCC(O)C(O)C1O,OCC(O)CCOC1OCC(O)C(O)C1O,sweet,flavor_db
OCC(O)COC1OCC(O)C(O)C1O,OCC(O)COC1OCC(O)C(O)C1O,sweet,flavor_db
OCC1OC(O)C(O)C(O)C1OS,OCC1OC(O)C(O)C(O)C1OS,sweet,flavor_db
COCC1OC(O)C(OC)C(OC)C1O,COCC1OC(O)C(OC)C(OC)C1O,sweet,flavor_db
OC1OC2COC(C1O)C2O,OC1OC2COC(C1O)C2O,sweet,flavor_db
CC=CC(=O)CCCCC,CC=CC(=O)CCCCC,undefined,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC(O)CO)C(O)C1OP(=O)(O)O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC(O)CO)C(O)C1OP(=O)(O)O,sweet,flavor_db
CC1OC(n2cnc3c(N)ncnc32)C(OP(=O)(O)O)C1O,CC1OC(n2cnc3c(N)ncnc32)C(OP(=O)(O)O)C1O,sweet,flavor_db
OCC1OC(O)C(O)C(F)C1O,OCC1OC(O)C(O)C(F)C1O,sweet,flavor_db
OC1COC(O)(CF)C(O)C1O,OC1COC(O)(CF)C(O)C1O,sweet,flavor_db
OCC1OC(O)C(F)(F)C(O)C1O,OCC1OC(O)C(F)(F)C(O)C1O,sweet,flavor_db
CN(C)c1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(N)C1O,CN(C)c1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(N)C1O,sweet,flavor_db
Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,sweet,flavor_db
c1ccc(CCCc2ccccn2)cc1,c1ccc(CCCc2ccccn2)cc1,undefined,flavor_db
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)NP(=O)(O)OP(=O)(O)O)O1,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)NP(=O)(O)OP(=O)(O)O)O1,sweet,flavor_db
O=C1c2c(O)cc(OC3CC(O)C(O)C(CO)O3)cc2OC(c2ccc(O)c(O)c2)C1O,O=C1c2c(O)cc(OC3CC(O)C(O)C(CO)O3)cc2OC(c2ccc(O)c(O)c2)C1O,sweet,flavor_db
O=c1[nH]sc2cccc(F)c12,O=c1[nH]sc2cccc(F)c12,sweet,flavor_db
O=c1[nH]sc2ccc(F)cc12,O=c1[nH]sc2ccc(F)cc12,sweet,flavor_db
O=c1[nH]sc2cc(F)ccc12,O=c1[nH]sc2cc(F)ccc12,sweet,flavor_db
O=c1[nH]sc2c(F)cccc12,O=c1[nH]sc2c(F)cccc12,sweet,flavor_db
CCCCCCCCOC1OC(C)C(OC2OC(C(O)CO)C(O)C2O)C(O)C1O,CCCCCCCCOC1OC(C)C(OC2OC(C(O)CO)C(O)C2O)C(O)C1O,sweet,flavor_db
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)O1,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)O1,sweet,flavor_db
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1OC1OCC(O)C(O)C1O,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1OC1OCC(O)C(O)C1O,sweet,flavor_db
c1ccc(C2=NN(c3ccccc3)N(c3ccccc3)N2)cc1,c1ccc(C2=NN(c3ccccc3)N(c3ccccc3)N2)cc1,sweet,flavor_db
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)CC1O,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)CC1O,sweet,flavor_db
CC1OC(O)(O)C(O)C(O)C1O,CC1OC(O)(O)C(O)C(O)C1O,sweet,flavor_db
